baseline,comparison,mean_difference,matched_t,matched_df,matched_p_value,independent_t,independent_df,independent_p_value
NBC,Bagging NBC (10),0.0011340585328023806,0.08877125484070346,5.0,0.9327096962113992,0.04071008074674696,7.0,0.9686638256570903
NBC,Bagging NBC (20),0.008198987718933404,0.9477870688216167,6.0,0.37983060290060305,0.35170465177972676,8.0,0.7341438107525206
NBC,Bagging NBC (30),0.01506907178338176,1.1336438929280885,6.0,0.30019904375740164,0.5848229846818347,6.0,0.5799777261036482
Bagging NBC (10),Bagging NBC (20),0.007064929186131022,0.5260961951370591,4.0,0.6266407337615304,0.267355181866259,7.0,0.7969015400979765
Bagging NBC (10),Bagging NBC (30),0.013935013250579378,1.5987132202239933,5.0,0.17077808922426663,0.48699681016688934,6.0,0.6435395313923531
Bagging NBC (20),Bagging NBC (30),0.0068700840644483575,0.469409881041338,7.0,0.6530467842202766,0.283747896345662,7.0,0.7848126778790719
